   160/299    0.895G   0.02175   0.01532  0.001327   0.03839       114       320    0.9203    0.6855     0.806    0.5181   0.02617   0.01095   0.00406
   161/299    0.895G   0.02147    0.0142  0.001271   0.03694        69       320    0.8322    0.7608    0.7971    0.5115   0.02675   0.01121  0.004174
   162/299    0.895G   0.02152   0.01473  0.001194   0.03744        71       320    0.9398     0.678    0.7896    0.5083    0.0267   0.01116  0.004037
   163/299    0.895G   0.02127    0.0149  0.001305   0.03748        70       320    0.8435     0.745    0.7816    0.5137   0.02633   0.01104  0.004094
   164/299    0.895G   0.02159   0.01493   0.00128    0.0378        79       320    0.8334    0.7022    0.7582    0.4914   0.02682   0.01122  0.004863
   165/299    0.895G   0.02162   0.01456  0.001398   0.03758        50       320    0.8332    0.7228    0.7857    0.5195    0.0264   0.01105  0.004457
   166/299    0.895G   0.02128   0.01574  0.001501   0.03853       109       320    0.9052    0.6853    0.7717    0.4869    0.0267   0.01101  0.005165
   167/299    0.895G   0.02121   0.01486  0.001245   0.03732        98       320    0.8334    0.7793    0.7929    0.5169   0.02682   0.01115  0.004185
   168/299    0.895G   0.02168   0.01443  0.001204   0.03732        87       320    0.8517    0.7701    0.7932    0.5108   0.02666   0.01122   0.00402
   169/299    0.895G   0.02157   0.01545  0.001488   0.03851        66       320    0.8501    0.7636     0.796    0.5206   0.02667   0.01117  0.003837
   170/299    0.895G   0.02162   0.01441  0.001243   0.03727        81       320     0.919    0.7483    0.8037    0.5151   0.02687    0.0113  0.003814
   171/299    0.895G    0.0214   0.01471  0.001341   0.03745        49       320    0.9098    0.6908      0.78    0.5043   0.02734   0.01157   0.00442
   172/299    0.895G   0.02123    0.0144  0.001405   0.03704        58       320    0.7547    0.7146    0.7334    0.4797   0.02711   0.01158  0.005036
   173/299    0.895G   0.02072   0.01479  0.001248   0.03676       130       320    0.8486    0.7065    0.7648    0.4915   0.02704   0.01147  0.004399
   174/299    0.895G   0.02128   0.01466  0.001295   0.03724        52       320    0.9248    0.6882    0.7741    0.5115    0.0274   0.01126  0.003964
   175/299    0.895G   0.02132   0.01465  0.001288   0.03725        55       320    0.9318    0.6722    0.7804    0.5143   0.02722   0.01113  0.003957
   176/299    0.895G   0.02045    0.0152  0.001167   0.03682        44       320    0.8093    0.7794    0.7898    0.5187   0.02665   0.01091  0.004055
   177/299    0.895G   0.02098   0.01485   0.00118   0.03701        81       320     0.916     0.696    0.7763    0.5105   0.02712   0.01125   0.00414
   178/299    0.895G   0.02057   0.01414  0.001314   0.03603        59       320    0.8492    0.7522    0.7813    0.5048   0.02732   0.01137   0.00451
   179/299    0.895G    0.0208    0.0151  0.001303   0.03721        73       320    0.8603    0.7384     0.783    0.5144   0.02682   0.01098  0.004768
   180/299    0.895G   0.02061    0.0142  0.001192     0.036        53       320    0.8505    0.7463     0.782    0.5247   0.02677    0.0111  0.004646
   181/299    0.895G   0.02064   0.01437  0.001251   0.03627        31       320    0.9282    0.6334    0.7358    0.4497   0.02704   0.01151   0.00761
   182/299    0.895G   0.02054   0.01371  0.001056   0.03531        74       320     0.926    0.6524    0.7742    0.4923   0.02721   0.01122  0.006264
   183/299    0.895G    0.0202    0.0145  0.001196    0.0359        50       320     0.938    0.6789    0.7842    0.4935   0.02726   0.01129  0.004981
   184/299    0.895G   0.01977     0.014  0.001045   0.03481        88       320    0.8258    0.7593    0.7859    0.5004   0.02762    0.0115  0.004592
   185/299    0.895G   0.02008   0.01491  0.001175   0.03617       120       320    0.9061    0.7052    0.7828    0.4953   0.02715   0.01119  0.004426
   186/299    0.895G    0.0199   0.01452  0.001066   0.03548        93       320    0.8574    0.7595    0.7858    0.4983   0.02717   0.01125  0.004267
   187/299    0.895G   0.01992   0.01475  0.001058   0.03572        99       320    0.8884    0.7211    0.7876    0.5107   0.02659   0.01103  0.004157
   188/299    0.895G   0.02049   0.01433  0.001204   0.03602        98       320    0.9335    0.7416    0.7874    0.5128   0.02672   0.01124  0.004126
   189/299    0.895G   0.02021   0.01403  0.001194   0.03543        94       320    0.7769    0.7855     0.774    0.4981   0.02675   0.01134  0.004247
   190/299    0.895G    0.0193   0.01344 0.0009323   0.03367       108       320    0.9071    0.6525    0.7446    0.4754   0.02677    0.0114  0.004535
   191/299    0.895G   0.01997   0.01444  0.001096   0.03551        48       320    0.9671    0.6782    0.7661    0.4947   0.02657    0.0114  0.004193
   192/299    0.895G   0.02026   0.01439  0.001139   0.03579        91       320     0.873    0.6777    0.7663    0.5038   0.02675   0.01137  0.004381
   193/299    0.895G   0.02005   0.01371  0.001072   0.03484        47       320    0.8985    0.6774    0.7614    0.4967   0.02675   0.01143  0.004462
   194/299    0.895G   0.01911   0.01361   0.00107   0.03379        88       320    0.9245     0.653    0.7509    0.4932   0.02631   0.01123  0.004765
   195/299    0.895G    0.0199   0.01437 0.0009896   0.03526        90       320    0.9579    0.6791    0.7677    0.4889   0.02662   0.01126  0.004438
   196/299    0.895G   0.01944   0.01401  0.001006   0.03446        71       320    0.8726    0.6961    0.7593    0.4841   0.02651   0.01117  0.004618
   197/299    0.895G   0.02035   0.01421  0.001002   0.03556        52       320    0.9412    0.6314    0.7501    0.4729   0.02637   0.01102  0.004796
   198/299    0.895G   0.01939   0.01347 0.0008924   0.03375        75       320     0.807    0.7489    0.7582    0.4878   0.02623   0.01113  0.004411
   199/299    0.895G   0.01991   0.01435   0.00114    0.0354       126       320     0.818    0.7464    0.7672    0.5013   0.02611   0.01104  0.004223
   200/299    0.895G    0.0198   0.01418  0.001193   0.03517       100       320    0.8957    0.6957    0.7687       0.5   0.02591   0.01109  0.004485
   201/299    0.895G    0.0198   0.01476  0.001245   0.03581       144       320    0.9806    0.6599    0.7828    0.5033   0.02633   0.01108  0.004277
   202/299    0.895G    0.0192   0.01355  0.001196   0.03395       139       320    0.8617    0.6561    0.7432    0.4813   0.02669   0.01129  0.004918
   203/299    0.895G   0.01953   0.01407  0.001086   0.03468        64       320    0.8046    0.7337    0.7566    0.4919   0.02626   0.01124  0.004396
